中日友好医院授权返回

主服务器授权申请号:  2250-29077
备份服务器授权申请号:1764-02415
客户服务编号:        3234
客户显示名称:        中日友好医院
PTechSQH:            2000

****主程序授权****

---------------------------------------------------------------------------------
序号  授权类型 截止日期    主服务器授权号             备份服务器授权号           
112   商业                 1511-8192-3011-1914-1135   3212-7115-6115-2511-1237   
113   商业                 6615-7160-0911-1814-3971   1937-4126-1011-0622-1290   
114   商业                 7119-6159-1162-6824-1323   7852-4102-9119-1525-7852   
115   商业                 5818-1159-9517-1431-8515   1867-6181-9111-8275-1325   
116   商业                 2972-1119-3415-4129-1391   2222-8195-1114-6746-9617   
117   商业                 0220-9173-4214-4126-3101   1843-3137-1459-4644-7262   
118   商业                 3761-1112-6886-4481-7223   1601-8139-4221-1676-1794   
119   商业                 1129-8163-4927-9191-6423   9114-7145-1136-0191-1131   
120   商业                 1210-5127-9121-1832-1832   3112-5123-1135-0115-1118   
121   商业                 8567-1106-4669-5231-7996   4111-3134-2985-2591-5581   
122   商业                 1351-9111-4255-3848-5259   6348-1125-4010-8119-1911   
123   商业                 6215-1171-1933-8218-3161   8080-0163-5212-1117-1125   
124   商业                 6591-8132-6110-6251-2183   4169-0114-4914-1821-7477   
125   商业                 2022-9120-2219-0133-6811   1337-9165-2610-1722-6519   
126   商业                 3721-2111-5037-9921-9114   2341-1164-8812-6143-7122   
127   商业                 5611-9122-4218-1115-1867   3223-5121-2190-5105-1902   
128   商业                 2123-5177-7214-1265-1988   0183-1150-1026-0224-3112   
129   商业                 3212-2156-2215-5255-3224   4296-2115-2623-1101-0121   
130   商业                 2169-8117-1289-3141-9117   8135-1119-8511-1028-7961   
131   商业                 1558-7173-2373-2122-1115   5121-6181-7557-9010-8821   
132   商业                 2262-5158-2811-1114-0163   1357-8111-3061-2453-1509   
133   商业                 3911-3112-7871-5190-6961   2129-9122-2840-3234-5914   
134   商业                 6771-1161-1414-1262-1313   7718-4112-4125-8048-1632   
135   商业                 3623-3188-1413-1411-7093   1592-0153-3811-5442-8001   
136   商业                 6736-1133-9422-2215-3713   5229-0127-1145-5274-9229   
137   商业                 1116-4133-1114-1220-9576   6533-5158-4221-1318-3918   
138   商业                 2142-0161-2462-4374-0391   6311-2122-3372-1199-7342   
139   商业                 5411-2102-5721-1781-4740   1636-6188-3811-1215-7915   
140   商业                 1922-7130-3121-1025-0342   2229-4113-2180-0189-1152   
141   商业                 0625-2134-5111-2123-1764   2799-7175-0601-1513-1120   
142   商业                 7981-8111-0170-4219-4516   0632-1118-2197-3633-6111   
143   商业                 1741-6103-7711-1924-9181   1011-3114-1585-2954-9271   
144   商业                 0592-5173-1072-3015-0531   5631-5114-3623-2516-9149   
145   商业                 9410-0180-7111-1413-5618   2871-2120-6321-1120-4331   
146   商业                 3812-4126-1232-4152-1100   0212-9134-9114-7211-1722   
147   商业                 4950-3125-8111-2212-1139   9713-8143-3111-7837-1144   
148   商业                 7179-3161-8726-1731-3121   5200-2131-4358-2501-1931   
149   商业                 0113-1126-2720-1191-2461   8668-1154-2422-4241-5181   
150   商业                 1211-3103-1925-4196-1312   9935-5110-9111-1329-2562   
151   商业                 1123-0186-0996-0252-0411   4524-2170-3221-2113-3210   
152   商业                 2224-5181-1185-6531-8220   2114-5183-5024-5242-1221   
153   商业                 7882-5163-5121-8318-2283   4865-1102-3414-2191-1742   
154   商业                 3011-8184-2897-4319-2132   3111-8141-5227-1763-1000   
155   商业                 4162-1160-2617-6154-3561   4431-4181-2121-1915-1982   
156   商业                 5211-2127-9816-1783-4193   3586-2191-6412-1711-4217   
157   商业                 1483-1121-6514-2111-2223   6508-2122-0514-2104-4952   
158   商业                 2349-1113-1212-1121-2223   1786-6174-2711-1617-1294   
159   商业                 2227-3181-6912-6682-3432   1971-8114-2081-1816-5432   
160   商业                 1214-2186-8611-6248-3241   1072-4127-0331-4949-4631   
161   商业                 5198-3166-1132-1101-9642   6112-5103-5174-2452-2851   
162   商业                 9314-6110-7228-8326-9001   9894-3122-3512-2621-8176   
163   商业                 2931-7137-4011-1523-3012   0055-2116-1117-0169-6361   
164   商业                 2821-4191-2247-2876-1311   9920-1171-5421-4212-9332   
165   商业                 6216-2149-1116-1118-1170   2259-7121-1155-1089-2311   
166   商业                 1397-1169-9313-4678-4511   1331-1166-1525-1317-7851   
167   商业                 2002-8130-4311-2724-7391   1776-6184-1143-4160-7115   
168   商业                 4626-8138-5121-1014-9210   2022-9136-4911-7530-4342   
169   商业                 1444-1143-9022-1223-1127   0110-1137-6191-8585-9946   
170   商业                 6000-4127-2216-1831-2164   3158-3101-2467-1732-1207   
171   商业                 3217-8141-1110-1715-1835   4189-5184-2940-2167-4625   
172   商业                 8214-7158-7271-5750-2180   3814-1125-4112-5572-2514   
173   商业                 1819-4185-0128-2516-5225   5890-1118-1571-2371-8215   
174   商业                 7257-1110-2141-4231-7122   2949-0199-5912-1514-2224   
175   商业                 8181-4167-8129-1158-7351   2862-1171-2419-3174-5038   
176   商业                 0281-5119-1624-4105-5836   7689-0138-8523-1021-9111   
177   商业                 7102-1113-2211-8311-2217   1502-7138-2741-2240-7261   
178   商业                 8215-2120-4121-1287-7761   5018-9136-1513-1089-1961   
179   商业                 3124-0101-4714-2893-8711   2495-0133-4522-2413-1716   
180   商业                 7186-9187-7029-7141-7229   5123-2115-6212-1131-3110   
181   商业                 8083-1192-1217-1017-8432   1352-4171-7122-2312-1526   
182   商业                 1837-1111-6279-4541-6052   1171-4180-3111-1819-6324   
183   商业                 3611-2114-2119-7175-7363   1217-4140-1171-2204-0442   
184   商业                 6787-3184-9611-2211-4214   1205-6139-4811-1028-2884   
185   商业                 1701-0117-2621-1312-4342   2552-2116-7012-7341-3971   
186   商业                 6918-9172-2929-7171-5176   3080-1111-6237-8454-7986   
187   商业                 9912-6149-2717-1317-7849   0123-4190-6316-3201-4116   
188   商业                 6371-1154-4812-2922-1213   4274-4131-3262-9844-3720   
189   商业                 2261-2144-1012-2723-7342   5194-9118-6117-7787-2262   
190   商业                 5019-3192-2715-2814-6385   4416-5153-2528-1012-1642   
191   商业                 4125-2117-2288-0245-2274   4471-1109-1529-2256-5901   
192   商业                 5298-5124-1632-9192-2123   1351-1123-0917-1561-2235   
193   商业                 7116-7140-8513-4202-0115   9279-1103-0223-1789-7124   
194   商业                 4121-9135-1125-2590-0521   2539-0151-1752-3742-1123   
195   商业                 0216-6184-1111-7210-3729   1782-1146-5012-1813-7802   
196   商业                 5378-1147-9227-4205-5873   7970-1159-1211-6746-0691   
197   商业                 4829-1166-8117-1910-2171   5282-7119-6821-1172-0117   
198   商业                 1019-8176-1024-2210-1684   4099-1152-1012-2418-8832   
199   商业                 1088-3164-1121-7531-1222   1644-1153-6922-2917-0166   
200   商业                 6141-4100-6819-2121-1241   1555-5136-8372-8813-6115   
201   商业                 7036-1119-1194-5961-1155   1010-8102-8711-2211-1142   
202   商业                 1911-0142-4221-5904-2875   2531-4121-9898-3626-9949   
203   商业                 1907-2103-4528-6121-3127   5732-1170-7220-4121-2613   
204   商业                 9706-2122-5317-1232-2961   2192-7152-1427-2425-5842   
205   商业                 2442-4187-8311-1912-2771   4225-2177-1139-0188-6759   
206   商业                 2482-5145-9011-2514-2191   5186-6177-1543-5112-1472   
207   商业                 3314-1112-4412-2897-8141   1801-2127-3921-7425-9162   
208   商业                 1571-1140-5422-6791-5191   7607-1119-7311-6122-5110   
209   商业                 2642-5117-0619-8962-9511   2611-4148-0014-1118-3352   
210   商业                 3745-2120-2185-3252-2125   2214-9186-5123-3158-2622   
211   商业                 4417-3121-7417-3917-8219   1113-0168-1364-4152-6312   
212   商业                 1423-1191-0922-0827-1737   8306-0132-5191-5075-3539   
213   商业                 5999-7161-9118-2189-1458   4514-7137-1212-1020-1526   
214   商业                 4111-8181-8118-2159-2120   9312-7148-9118-1417-1290   
215   商业                 5312-1135-5111-2219-1126   4897-8188-9110-1411-1207   
216   商业                 6982-1197-1249-5162-6371   1119-3120-2375-2201-6731   
217   商业                 1392-3182-5802-1002-9102   3120-0171-6291-9250-2425   
218   商业                 5199-2115-9919-1421-8220   1231-2114-2620-1237-2752   
219   商业                 8121-1103-0023-1620-2422   4314-2188-6127-0014-2973   
220   商业                 2745-1140-1222-1111-6462   1241-0117-2291-2171-6761   
221   商业                 3492-4142-5995-4401-8944   1111-0116-2442-3212-1692   
222   商业                 1032-3193-1111-3833-9683   5115-0142-4212-1124-5587   
223   商业                 1122-9150-7421-2112-6837   7902-1135-0613-1721-3825   
224   商业                 5113-4134-0219-1797-2922   5712-4131-1219-2527-6122   
225   商业                 0186-7179-7415-7933-4629   1832-1114-0214-2754-8119   
226   商业                 3281-5138-1174-5251-6031   2576-8183-1026-6242-2727   
227   商业                 4316-5171-5118-2243-9479   2454-4164-6112-2714-1179   
228   商业                 1141-4118-2422-1129-1271   5173-1122-9547-7092-0321   
229   商业                 2909-2111-7253-6841-1529   1544-2150-1311-1521-4118   
230   商业                 9272-5105-9511-1221-5126   6147-2152-2126-4132-5120   
231   商业                 0331-1126-1570-8451-8629   2512-3134-7610-7250-7251   
232   商业                 1779-2181-2315-2518-1150   2920-1121-7123-5803-6224   
233   商业                 3119-7195-1182-4187-6726   1112-8131-6214-3196-8511   
234   商业                 1282-1171-5034-4442-8271   1111-0155-2121-8142-9420   
235   商业                 5212-3128-1240-7344-1399   1019-3114-8111-2118-6110   
236   商业                 2264-1121-5418-2167-9571   3123-4174-5221-2164-1278   
237   商业                 3656-3143-3215-1515-8609   6215-2192-1234-5202-1680   
238   商业                 1230-1184-9616-1721-0623   2501-9124-5121-1212-5691   
239   商业                 5502-2117-2266-1944-9674   0540-2112-4898-7056-0202   
240   商业                 9116-9152-2767-5192-4117   2448-7111-9317-2166-1939   
241   商业                 9255-6188-2143-0130-4124   9729-1144-9914-1161-3110   
242   商业                 4624-9136-5233-5523-1406   2886-1139-2429-3207-8076   
243   商业                 0214-1106-1223-3130-2572   7112-3110-4610-6172-5121   
244   商业                 8786-1161-0710-3102-5213   5116-4152-2113-2720-1145   
245   商业                 2332-1181-9672-5482-1931   3411-9113-1150-6186-1877   
246   商业                 5735-4184-2051-5412-1121   1061-1104-0211-1626-0834   
247   商业                 1484-2121-9651-3717-0771   1111-6195-9917-3207-8002   
248   商业                 1181-9126-7814-1144-3196   5227-7163-6174-8494-4410   
249   商业                 5848-2113-6211-6251-9825   4079-0130-9917-1527-1591   
250   商业                 6862-1162-1119-2670-1690   4214-6138-0223-1167-2141   
251   商业                 2961-8153-1245-0256-5328   4124-0173-1123-3145-1643   
252   商业                 8117-1121-1014-1938-8215   2551-3151-2211-1812-7151   
253   商业                 6114-6141-7091-5462-0217   9110-4194-8219-1211-1422   
254   商业                 6900-2118-7511-1331-2218   0692-5179-9518-1213-9622   
255   商业                 4110-3116-1174-4256-1896   1142-7125-8511-9995-1281   
256   商业                 8535-2140-1013-2141-7113   5944-2112-2936-0885-6579   
257   商业                 6114-6189-0229-5149-1553   8194-6130-5926-6202-5623   
258   商业                 9591-1111-1158-5582-1025   6710-5158-4523-1211-3813   
259   商业                 7111-6190-2238-2238-7251   5122-2130-1223-5232-2045   
260   商业                 2123-1131-8222-1916-5550   2951-1184-1487-1242-2253   
261   商业                 0320-0169-2113-1314-1206   4113-7120-4128-1496-1621   
262   商业                 0522-1102-4817-2222-5871   4321-2123-7318-3978-6212   
263   商业                 4113-0163-5112-8312-2115   3729-5158-7118-1915-1934   
264   商业                 1011-8156-0121-6915-9822   2162-1164-5512-2815-3019   
265   商业                 2085-9111-8511-1444-2170   3315-1125-2449-2876-2791   
266   商业                 0124-4172-9112-7154-4829   2558-2145-1125-1772-0260   
267   商业                 1222-2175-2113-1159-1292   9611-6131-4217-1227-1121   
268   商业                 2731-0112-4412-1825-8415   1372-1144-4112-1724-8561   
269   商业                 4214-8157-4232-6175-2222   4162-6118-1418-6141-1312   
270   商业                 2251-1197-2023-3165-6211   8800-2119-2122-2192-5011   
271   商业                 4618-2113-4116-2189-9091   2464-2152-1186-1534-1479   
272   商业                 4277-1145-1140-2195-2214   3320-8169-7101-0618-7678   
273   商业                 3649-2135-4612-2527-9551   8447-2151-1921-1921-7121   
274   商业                 9422-4122-9214-5228-1630   1461-3111-5320-2515-3105   
275   商业                 8615-8198-2143-3240-2395   1127-7101-3115-1398-1162   
276   商业                 7164-1176-3718-1471-7914   5843-2112-6171-8158-5210   
277   商业                 1702-2155-5712-2311-5361   1472-1108-8522-1922-9822   
278   商业                 9621-2130-1919-1052-3219   1212-7119-2150-2993-9881   
279   商业                 3755-0164-1112-8201-1326   4712-2112-3514-1220-1614   
280   商业                 8822-1118-1369-4492-4668   5789-1115-0322-2183-7192   
281   商业                 2122-0122-1984-9142-7112   1125-2111-1429-2452-5110   
282   商业                 8114-7112-1180-1104-2640   6571-7151-9826-2898-7216   
283   商业                 3146-5186-9111-1816-3210   5115-5101-9230-0465-2501   
284   商业                 5222-2134-3223-5158-2115   5267-7136-1830-7176-7141   
285   商业                 1451-4141-4453-7233-1156   3315-1127-1676-0181-4799   
286   商业                 4110-0157-1447-8255-0586   9316-9112-8175-7154-1539   
287   商业                 3124-4170-1173-4110-1245   4714-8192-6885-2111-3923   
288   商业                 8212-7195-8112-1242-2212   2332-9125-7920-5771-5431   
289   商业                 3291-1152-8771-2642-6955   8807-1111-3229-0242-9548   
290   商业                 4112-3164-2711-2265-3203   3218-6112-6912-2351-9510   
291   商业                 1124-2152-1191-1201-1562   2141-8158-1841-5102-9883   
292   商业                 1791-5112-1941-2510-9911   2471-2144-9122-1223-2223   
293   商业                 4353-4126-6522-5696-7102   2411-4108-6015-1247-0141   
294   商业                 9216-9194-5420-2881-9913   8434-8194-6121-2162-1312   
295   商业                 3232-0102-1253-5141-9302   1281-2161-8412-0075-2181   
296   商业                 8331-1154-2592-5167-8321   1875-7130-4221-2713-2435   
297   商业                 6114-1182-6223-4216-2915   4368-8120-3118-1584-2980   
298   商业                 3216-3187-1150-0244-4281   0600-1117-8511-1233-2571   
299   商业                 2288-2162-8594-2111-7966   1284-0159-8811-1821-2117   
300   商业                 6910-2140-7616-2426-2511   4752-2138-2079-4150-6252   
301   商业                 9110-8108-2149-2102-8121   3110-7163-6116-2066-1116   
302   商业                 8392-1190-2010-1811-2920   7441-2111-5358-5400-5081   
303   商业                 4124-7149-0813-1451-5340   0820-1143-4248-8115-5216   
304   商业                 4579-1125-3411-2043-1422   1781-2112-8722-1117-2042   
305   商业                 5124-2111-2191-6652-7291   0111-2116-8724-1290-6142   
306   商业                 5732-2130-1717-2621-4222   3113-6122-1136-0168-1100   
307   商业                 1281-0115-3925-5161-6113   5719-1114-0516-3181-2128   
308   商业                 0757-8135-1117-1322-1128   6913-9138-1128-1710-1084   
309   商业                 3114-7102-1213-1920-2364   3227-0132-5833-4122-1510   
310   商业                 1761-3122-6752-7357-1916   3266-9182-5012-6921-4412   
311   商业                 8164-2194-5114-2011-0931   5161-1161-2373-3201-0134   
312   商业                 1361-4101-1022-1320-3281   0739-7138-5511-5416-5920   
313   商业                 9112-4190-6329-2192-5114   9297-1173-6121-1387-3271   
314   商业                 1881-1191-9521-2217-6584   3298-2188-8112-8231-3716   
315   商业                 5815-1181-9593-0812-1214   0157-5161-8611-4161-6216   
316   商业                 0222-9195-9623-6171-7232   1461-8121-7311-1529-6165   
317   商业                 1922-2112-6083-3121-7433   3771-7181-5751-7362-1061   
318   商业                 4117-0129-8125-1933-7213   8524-8130-5121-2628-1238   
319   商业                 2182-1131-3628-7240-4012   3528-2125-1325-1331-4227   
320   商业                 1211-2177-1331-1132-2081   4226-1114-1019-3597-2712   
321   商业                 2521-8112-9514-2221-6412   1201-1188-0421-1262-7729   
322   商业                 4778-5118-1873-1589-1336   5072-1124-4613-9793-3771   
323   商业                 0302-1149-7516-1814-2342   8282-1132-1333-6501-2512   
324   商业                 5110-0181-2714-7246-6781   1724-3120-9919-2312-5212   
325   商业                 1471-9121-8426-1661-8212   7946-1186-2105-8651-3030   
326   商业                 7969-4133-1152-0244-2130   1541-0114-7911-1213-4281   
327   商业                 5163-5183-6811-7152-3012   6815-9134-8112-3343-8752   
328   商业                 2792-2117-8112-1115-2882   1246-9106-2082-2152-1451   
329   商业                 2165-8165-7626-1132-8211   4432-6185-5114-9235-2125   
330   商业                 1018-1172-1511-7742-2126   2121-4153-6129-2086-9571   
331   商业                 6468-8185-1215-8311-7116   2622-0150-2222-2464-1762   
332   商业                 5187-7177-1612-6131-0226   1159-1121-6012-1726-5376   
333   商业                 4291-0115-2195-1197-4497   3125-0120-4121-9156-2115   
334   商业                 1151-7123-1758-4232-6971   1413-8112-8049-3322-1844   
335   商业                 1723-6180-0313-1318-9551   0167-3173-4321-1677-4155   
336   商业                 4652-3183-7112-2155-2433   0127-6157-1819-5911-1416   
337   商业                 1801-1148-7625-6121-6677   4134-1120-8610-1041-2112   
338   商业                 1132-5154-8691-2811-2923   1621-3107-8811-1710-5954   
339   商业                 2211-6131-5686-2589-4597   9433-2121-1614-1331-2951   
340   商业                 2581-6150-6321-1625-1512   9221-9192-1350-3205-8932   
341   商业                 0287-6176-2654-3215-1266   4524-6138-0211-1518-2470   
342   商业                 5221-1106-0134-4097-1153   8021-3111-6922-1528-1471   
343   商业                 1284-0145-4111-1215-1914   2311-5175-4918-1416-8401   
344   商业                 7298-4162-3525-6128-4871   6881-4143-2724-2721-4114   
345   商业                 1119-3133-6110-2671-2055   1582-8120-8814-8303-3994   
346   商业                 2101-2141-1286-9112-5110   1334-3171-2162-2715-1557   
347   商业                 9159-3112-1162-1346-1417   2220-8199-1211-6143-1111   
348   商业                 6932-3193-1212-3803-1137   2291-5140-2310-2181-4622   
---------------------------------------------------------------------------------

****通讯程序授权****

------------------------------------------------------------------------------------------
序号 用户程序名     系统程序名     SQH    授权类型 截止日期    授权号                     
------------------------------------------------------------------------------------------
1    R_I2000s       染色取图H500   3140   商业                 7141-2143-2712-9237-0441   
2    R_MEK6318A                    3251   商业                 9418-1128-2523-3242-4243   
3    R_MEK6318                     3251   商业                 2117-5193-2111-3185-2224   
4    R_KX-21        KX21           3603   商业                 5517-3106-4112-1919-1771   
5    R_xt2000       P800           5101   商业                 1124-1157-9216-6228-6736   
6    R_MONIJ                                                                              
7    R_H500         染色取图H500   3140   商业                 1257-5142-5341-4722-1441   
8    R_R500                                                                               
9    R_AXSYM        AXSYM          4005   商业                 3221-5136-1910-1299-4857   
10   R_h7600        H7600          3107   商业                 2402-3138-5621-1520-9443   
11   R_M_M                                                                                
12   R_SE9000                      4330   商业                 2881-2111-8271-4717-1902   
13   R_Diasys                                                                             
14   R_sa6000       SOUTH990       4341   商业                 1255-2116-7416-4634-1420   
15   R_XT1800                      5100   商业                 4766-0122-6122-2228-1146   
16   R_CD3200I                     4222   商业                 1617-0112-9321-9113-2942   
17   R_Liaison      LiaisonXL      4333   商业                 8252-1123-5316-9384-9841   
18   R_ScanXL       SCANXL         5205   商业                 3591-5151-5613-1811-5154   
19   R_AVE                                                                                
20   R_AUTHOS2010   Anthos2010     4373   商业                 5148-3195-7229-2381-5710   
21   R_XT1800       XE2100         3005   商业                 3691-1111-3113-6682-6751   
22   R_XT1800                      5100   商业                 2942-2132-8111-1822-8192   
23   R_xe2100       XT1800         3009   商业                 2257-3156-6014-2238-5341   
